"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 10:32:12 EET 2022","Wed Nov 09 10:32:19 EET 2022","7073","","","","","","check delete user",""
"passed","Wed Nov 09 10:32:11 EET 2022","Wed Nov 09 10:32:12 EET 2022","542","","","","","","delete user",""
"passed","Wed Nov 09 10:32:11 EET 2022","Wed Nov 09 10:32:11 EET 2022","435","","","","","","change user url and check this",""
"passed","Wed Nov 09 10:32:03 EET 2022","Wed Nov 09 10:32:04 EET 2022","507","","","","","","create new user in admin panel",""
"passed","Wed Nov 09 10:32:04 EET 2022","Wed Nov 09 10:32:11 EET 2022","7107","","","","","","find all users and create a jason file with them",""
"passed","Wed Nov 09 10:32:03 EET 2022","Wed Nov 09 10:32:03 EET 2022","554","","","","","","First, check if the site is working, confirm the status code 200",""
